title,date,location,price,image_url
Madalina Paval Orchestra | Concert Lansare Album Fuga Iuga | FORM SPACE Cluj-Napoca 22.03,"smbata, 22 martie 2025, 20:00","Form Space, Cluj-Napoca",80 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/madalina-paval-orchestra-concert-lansare-album-fuga-iuga-form-space-cluj-napoca-2203/Background_MEDIUM.jpg?7d500a2f-8778-4756-90e1-c890ae488692
Tavanul de sticla - 22 martie,"smbata, 22 martie 2025, 20:00","Strada Logofatul Tautu 68A, Bucure?ti",72 lei,https://livetickets-cdn.azureedge.net/itemimages/tavanul-de-sticla-22-martie/Background_MEDIUM.jpg?ed873917-54d1-48b3-b0b9-1c76f496ee2c
RETRO NIGHT FEVER | MC DYLMA x PAPPA M x BLACKIE | 22 MARTIE | CLUJ-NAPOCA,"smbata, 22 martie 2025, 20:00","CHIOS Social Lounge, Cluj-Napoca",45 lei,https://livetickets-cdn.azureedge.net/itemimages/retro-night-fever-mc-dylma-x-pappa-m-x-blackie-22-martie-cluj-napoca/Background_MEDIUM.jpg?93d43e58-e4cf-42be-b5f8-a4221ef085cb
Once Upon a Time,"smbata, 22 martie 2025, 20:00","Eataly Cafe Bar, Timi?oara",0 lei,https://livetickets-cdn.azureedge.net/itemimages/once-upon-a-time-2/Background_MEDIUM.jpg?d6a56b8a-0949-4ba7-8435-aef6514048e0
22.03 | pulse. at the AIRPORT,"smbata, 22 martie 2025, 21:00","Sibiu International Airport, Sibiu",0 - 999 lei,https://livetickets-cdn.azureedge.net/itemimages/sbz-airport-2203/Background_MEDIUM.jpg?8c303872-1234-4700-aa30-7bce21be7cab
Carnavalul Primaverii 15.0  RAVA,"smbata, 22 martie 2025, 21:00","Diplomatic Mamaia, Constan?a",60 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/carnavalul-primaverii-150-rava/Background_MEDIUM.jpg?391120cd-69ae-4895-9bfd-bd94d5cfb0dc
Afrodite - Act 2: Garden of Eden,"smbata, 22 martie 2025, 21:00","Royal Hall - Casa Presei Libere, Bucuresti",80 - 320 lei,https://livetickets-cdn.azureedge.net/itemimages/afrodite-act-2-garden-of-eden/Background_MEDIUM.jpg?6d7f0c86-581a-4579-a039-4ca6dc7e5ea9
Primavara Manelelor-Cluj Napoca,"smbata, 22 martie 2025, 22:00","Cluj Arena, Cluj-Napoca",60 - 80 lei,https://livetickets-cdn.azureedge.net/itemimages/primavara-manelelor-cluj-napoca/Background_MEDIUM.jpg?fe45ba8b-5a5c-4fe7-8e17-51df7fabba8b
q.p,"smbata, 22 martie 2025, 22:00","Nether Club, Bucure?ti",45 lei,https://livetickets-cdn.azureedge.net/itemimages/qp/Background_MEDIUM.jpg?378cfab5-a56c-432c-b640-6fe58d92f7e6
AFTER HOURS - PETRE STEFAN,"smbata, 22 martie 2025, 22:00","NOA Club, Cluj-Napoca",30 - 40 lei,https://livetickets-cdn.azureedge.net/itemimages/after-hours-secret-artist/Background_MEDIUM.jpg?c704fb2f-bf85-480c-9c7a-fcd38a2cea58
Manelomania - Ia?i,"smbata, 22 martie 2025, 22:00","Master Club, Ia?i",30 - 200 lei,https://livetickets-cdn.azureedge.net/itemimages/manelomania-iasi-2/Background_MEDIUM.jpg?b4c23f75-6e27-4ce3-9779-4cd0edc0366c
* GEORGIANA LOBONT * 22 MARTIE * LIQUID THE CLUB *,"smbata, 22 martie 2025, 22:00","Liquid The Club, Sibiu",60 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/georgiana-lobont-22-martie-liquid-the-club/Background_MEDIUM.jpg?2d22ef21-04a6-455b-8cef-5189c5d78f1a
Le Petit ? MASAKA AFRICANA  ? 22.03.2025,"smbata, 22 martie 2025, 22:00","Bragadiru Palace, Bucure?ti",80 - 200 lei,https://livetickets-cdn.azureedge.net/itemimages/le-petit-masaka-africana-22032025/Background_MEDIUM.jpg?c086612c-6500-493e-88c4-b8bb4c3582de
"ORI LA BAR, ORI LA SPITAL","smbata, 22 martie 2025, 22:00","Vintage Club, Zalau",29.99 - 130 lei,https://livetickets-cdn.azureedge.net/itemimages/ori-la-bar-ori-la-spital/Background_MEDIUM.jpg?b71d5d99-0c60-4867-a9ad-e3d13792afc2
Timi?oara: Manelescu w/ DJ Belu,"smbata, 22 martie 2025, 22:00","Exit Club, Timi?oara",20 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/manelescu-8/Background_MEDIUM.jpg?5fb9c2eb-aaf7-493b-b5f0-3b0243fd9e5f
Money Talks Party,"smbata, 22 martie 2025, 22:30","ARS ANIMA, Brasov",50 lei,https://livetickets-cdn.azureedge.net/itemimages/money-talks-party/Background_MEDIUM.jpg?f77abc1a-5c84-436a-9047-dd9ddfd3cfe1
Temple of Confessions. by GAIA. with Tripolism.,"smbata, 22 martie 2025, 22:30","ONE Tower,",125 - 165 lei,https://livetickets-cdn.azureedge.net/itemimages/temple-of-confessions-by-gaia-with-tripolism/Background_MEDIUM.jpg?ae1a14f3-8850-4019-90c4-1f2d4cba46fc
After Prom Party,"smbata, 22 martie 2025, 23:00","Liga Studentilor din Trgu Mures, Trgu Mure?",100 lei,https://livetickets-cdn.azureedge.net/itemimages/after-prom-party/Background_MEDIUM.jpg?7c0c4330-384d-43bc-badd-756850221f2f
"22.03 | Limousine Dream: Cap, Gene on Earth, Peach, Sweely","smbata, 22 martie 2025, 23:00","Club Guesthouse, Bucure?ti",40 lei,https://livetickets-cdn.azureedge.net/itemimages/2203-limousine-dream-cap-gene-on-earth-peach-sweely/Background_MEDIUM.jpg?b798cb6b-24b7-4ca7-9023-bdacd0e8f0ba
I ??OLD School |  HipHop & RnB-90s  2000s /FORMspace,"smbata, 22 martie 2025, 23:00","Cluj-Napoca, Cluj-Napoca",30 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/i-old-school-hiphop-rnb-90s-2000s-formspace/Background_MEDIUM.jpg?ef59e973-b72a-491f-a2b4-fbaf94a42953
EARLY BIRD - Denis Spaniolu & Spania Team,"smbata, 22 martie 2025, 23:00","OASIS Club Cluj, Cluj-Napoca",45 lei,https://livetickets-cdn.azureedge.net/itemimages/denis-spaniolu-spania-team/Background_MEDIUM.jpg?6969ad52-d454-4c47-99d7-967e7b7bc2a0
